solver,time,file,result
utopia,156.46641778945923,../testfiles/competitions/2011/application/SAT09/APPLICATIONS/satComp09_BioInstances/ndhf_xits_19_UNKNOWN.cnf.bz2,SATISFIABLE
utopia,16.576837062835693,../testfiles/competitions/2011/application/SAT11/application/fuhs/AProVE11/AProVE11-10.cnf.bz2,SATISFIABLE
utopia,17.586177825927734,../testfiles/competitions/2011/application/SAT04/industrial/hoonsang/vis-bmc/dekker.used-as.sat04-989.cnf.bz2,UNSATISFIABLE
utopia,17.603938102722168,../testfiles/competitions/2011/application/SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-rovers-18-step11.cnf.bz2,UNSATISFIABLE
utopia,170.83843207359314,../testfiles/competitions/2011/application/SAT_RACE06/ibm-2002-21r-k95.cnf.bz2,SATISFIABLE
utopia,18.16072797775269,../testfiles/competitions/2011/application/SAT11/application/leberre/2dimensionalstrippacking/E03N17.cnf.bz2,UNSATISFIABLE
utopia,183.38418292999268,../testfiles/competitions/2011/application/SAT09/APPLICATIONS/crypto/desgen/gss-14-s100.cnf.bz2,SATISFIABLE
utopia,19.18062114715576,../testfiles/competitions/2011/application/SAT11/application/leberre/2dimensionalstrippacking/korf-15.cnf.bz2,UNSATISFIABLE
utopia,193.1537148952484,../testfiles/competitions/2011/application/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-lfsr_004_127_112-tseitin.cnf.bz2,UNSATISFIABLE
utopia,196.32063603401184,../testfiles/competitions/2011/application/SAT09/APPLICATIONS/diagnosis/UR-10-10p1.cnf.bz2,SATISFIABLE
utopia,2.131597757339477,../testfiles/competitions/2011/application/SAT11/application/fuhs/AProVE11/AProVE11-13.cnf.bz2,SATISFIABLE
utopia,2.629409074783325,../testfiles/competitions/2011/application/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-bc57sensorsp2-tseitin.cnf.bz2,UNSATISFIABLE
