solver,time,file,assignments
minisat,0.0378291606903076,../testfiles/competitions/2009/SAT09/CRAFTED/modcircuits/owp_4vars_5gates.cnf,0.0
minisat,0.0421652793884277,../testfiles/competitions/2009/SAT09/CRAFTED/parity-games/instance_n5_i5_pp.cnf,0.0
utopia-luby-restarts,0.0439329147338867,../testfiles/competitions/2009/SAT09/CRAFTED/parity-games/instance_n4_i4_pp_ci_ce.cnf,0.0
utopia-no-restarts,0.057151079177856445,../testfiles/competitions/2009/SAT09/CRAFTED/modcircuits/owp_4vars_5gates.cnf,0.0
utopia-no-inprocessing,0.06197094917297363,../testfiles/competitions/2009/SAT09/CRAFTED/modcircuits/owp_4vars_5gates.cnf,0.0
utopia,0.0629630088806152,../testfiles/competitions/2009/SAT09/CRAFTED/modcircuits/owp_4vars_5gates.cnf,0.0
utopia-luby-restarts,0.0634188652038574,../testfiles/competitions/2009/SAT09/CRAFTED/modcircuits/owp_4vars_5gates.cnf,0.0
utopia-no-restarts,0.06917881965637207,../testfiles/competitions/2009/SAT09/CRAFTED/ramseycube/Q3inK10.cnf,0.0
utopia-luby-restarts,0.0698060989379882,../testfiles/competitions/2009/SAT09/CRAFTED/ramseycube/Q3inK10.cnf,0.0
utopia,0.0723898410797119,../testfiles/competitions/2009/SAT09/CRAFTED/ramseycube/Q3inK10.cnf,0.0
utopia-no-inprocessing,0.07305216789245605,../testfiles/competitions/2009/SAT09/CRAFTED/ramseycube/Q3inK10.cnf,0.0
utopia-no-inprocessing,0.08510589599609375,../testfiles/competitions/2009/SAT09/CRAFTED/parity-games/instance_n5_i5_pp.cnf,0.0
utopia,0.0856781005859375,../testfiles/competitions/2009/SAT09/CRAFTED/parity-games/instance_n5_i5_pp.cnf,0.0
minisat,0.0903601646423339,../testfiles/competitions/2009/SAT09/CRAFTED/parity-games/instance_n4_i5_pp.cnf,0.0
utopia-no-restarts,0.09731030464172363,../testfiles/competitions/2009/SAT09/CRAFTED/parity-games/instance_n5_i5_pp.cnf,0.0
utopia-luby-restarts,0.1232571601867675,../testfiles/competitions/2009/SAT09/CRAFTED/parity-games/instance_n5_i5_pp.cnf,0.0
minisat,0.1366381645202636,../testfiles/competitions/2009/SAT09/CRAFTED/ramseycube/Q3inK09.cnf,0.0
minisat,0.1372878551483154,../testfiles/competitions/2009/SAT09/CRAFTED/parity-games/instance_n6_i6_pp.cnf,0.0
minisat,0.1442599296569824,../testfiles/competitions/2009/SAT09/CRAFTED/modcircuits/mod5block_1var_7gates.cnf,0.0
minisat,0.2684299945831299,../testfiles/competitions/2009/SAT09/CRAFTED/parity-games/instance_n7_i7_pp.cnf,0.0
utopia,0.2690749168395996,../testfiles/competitions/2009/SAT09/CRAFTED/ramseycube/Q3inK11.cnf,0.0
utopia-no-restarts,0.28076624870300293,../testfiles/competitions/2009/SAT09/CRAFTED/ramseycube/Q3inK11.cnf,0.0
utopia-luby-restarts,0.2852661609649658,../testfiles/competitions/2009/SAT09/CRAFTED/ramseycube/Q3inK11.cnf,0.0
utopia-no-inprocessing,0.29633307456970215,../testfiles/competitions/2009/SAT09/CRAFTED/ramseycube/Q3inK11.cnf,0.0
minisat,0.3295464515686035,../testfiles/competitions/2009/SAT09/CRAFTED/edgematching/all/em_11_3_4_all.cnf,0.0
